Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-15 14:36:23,2018-08-15 14:36:38,"15,188s",PASSED
,,,,,,
Test Cases/CA_Test_1,Chrome 68.0.3440.106,,2018-08-15 14:36:23,2018-08-15 14:36:30,"7,294s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 14:36:24,2018-08-15 14:36:26,"2,422s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 14:36:26,2018-08-15 14:36:28,"2,350s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 14:36:28,2018-08-15 14:36:30,"1,676s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-15 14:36:30,2018-08-15 14:36:30,"0,201s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 14:36:30,2018-08-15 14:36:30,"0,189s",PASSED
,,,,,,
Test Cases/CA_Test_2,Chrome 68.0.3440.106,,2018-08-15 14:36:30,2018-08-15 14:36:38,"7,295s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 14:36:31,2018-08-15 14:36:32,"0,914s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 14:36:32,2018-08-15 14:36:34,"2,245s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 14:36:34,2018-08-15 14:36:35,"1,572s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 14:36:35,2018-08-15 14:36:36,"0,174s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-15 14:36:36,2018-08-15 14:36:36,"0,270s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 14:36:36,2018-08-15 14:36:38,"1,897s",PASSED
