Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-21 14:36:06,2018-08-21 14:36:23,"16,756s",FAILED
,,,,,,
Test Cases/CA_Test_3,Chrome 68.0.3440.106,,2018-08-21 14:36:07,2018-08-21 14:36:12,"5,615s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:36:07,2018-08-21 14:36:09,"2,434s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:36:09,2018-08-21 14:36:12,"2,139s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:36:12,2018-08-21 14:36:12,"0,642s",FAILED
,,,,,,
Test Cases/CA_Test_5,Chrome 68.0.3440.106,,2018-08-21 14:36:12,2018-08-21 14:36:18,"5,314s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:36:12,2018-08-21 14:36:14,"1,195s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:36:14,2018-08-21 14:36:16,"2,084s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 14:36:16,2018-08-21 14:36:16,"0,389s",PASSED
sendKeys,Chrome 68.0.3440.106,,2018-08-21 14:36:16,2018-08-21 14:36:18,"1,398s",PASSED
,,,,,,
Test Cases/CA_Test_6,Chrome 68.0.3440.106,,2018-08-21 14:36:18,2018-08-21 14:36:23,"5,159s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:36:18,2018-08-21 14:36:19,"1,083s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:36:19,2018-08-21 14:36:21,"2,270s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:36:21,2018-08-21 14:36:23,"1,640s",PASSED
