Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-28 10:52:31,2018-08-28 10:53:24,"53,355s",FAILED
,,,,,,
Test Cases/CA_Test_1,Chrome 68.0.3440.106,,2018-08-28 10:52:31,2018-08-28 10:52:39,"7,784s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-28 10:52:32,2018-08-28 10:52:35,"2,913s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 10:52:35,2018-08-28 10:52:37,"2,142s",PASSED
click,Chrome 68.0.3440.106,,2018-08-28 10:52:37,2018-08-28 10:52:39,"1,874s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-28 10:52:39,2018-08-28 10:52:39,"0,128s",PASSED
click,Chrome 68.0.3440.106,,2018-08-28 10:52:39,2018-08-28 10:52:39,"0,198s",PASSED
,,,,,,
Test Cases/CA_Test_2,Chrome 68.0.3440.106,,2018-08-28 10:52:39,2018-08-28 10:52:45,"5,760s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-28 10:52:39,2018-08-28 10:52:40,"1,062s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 10:52:40,2018-08-28 10:52:42,"2,051s",PASSED
click,Chrome 68.0.3440.106,,2018-08-28 10:52:42,2018-08-28 10:52:44,"1,184s",PASSED
click,Chrome 68.0.3440.106,,2018-08-28 10:52:44,2018-08-28 10:52:44,"0,149s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-28 10:52:44,2018-08-28 10:52:44,"0,136s",PASSED
click,Chrome 68.0.3440.106,,2018-08-28 10:52:44,2018-08-28 10:52:45,"0,941s",FAILED
,,,,,,
Test Cases/CA_Test_3,Chrome 68.0.3440.106,,2018-08-28 10:52:45,2018-08-28 10:52:50,"5,592s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-28 10:52:45,2018-08-28 10:52:46,"0,993s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 10:52:46,2018-08-28 10:52:48,"2,162s",PASSED
click,Chrome 68.0.3440.106,,2018-08-28 10:52:48,2018-08-28 10:52:50,"2,320s",PASSED
,,,,,,
Test Cases/CA_Test_4,Chrome 68.0.3440.106,,2018-08-28 10:52:50,2018-08-28 10:52:59,"8,541s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-28 10:52:51,2018-08-28 10:52:52,"0,967s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 10:52:52,2018-08-28 10:52:54,"2,211s",PASSED
click,Chrome 68.0.3440.106,,2018-08-28 10:52:54,2018-08-28 10:52:55,"1,668s",PASSED
click,Chrome 68.0.3440.106,,2018-08-28 10:52:55,2018-08-28 10:52:56,"0,975s",PASSED
click,Chrome 68.0.3440.106,,2018-08-28 10:52:56,2018-08-28 10:52:57,"0,897s",PASSED
click,Chrome 68.0.3440.106,,2018-08-28 10:52:57,2018-08-28 10:52:59,"1,624s",PASSED
,,,,,,
Test Cases/CA_Test_5,Chrome 68.0.3440.106,,2018-08-28 10:52:59,2018-08-28 10:53:05,"6,100s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-28 10:52:59,2018-08-28 10:53:00,"1,037s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 10:53:00,2018-08-28 10:53:02,"2,134s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-28 10:53:02,2018-08-28 10:53:03,"0,271s",PASSED
sendKeys,Chrome 68.0.3440.106,,2018-08-28 10:53:03,2018-08-28 10:53:05,"2,532s",PASSED
,,,,,,
Test Cases/CA_Test_6,Chrome 68.0.3440.106,,2018-08-28 10:53:05,2018-08-28 10:53:10,"4,959s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-28 10:53:05,2018-08-28 10:53:06,"1,125s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 10:53:06,2018-08-28 10:53:08,"2,082s",PASSED
click,Chrome 68.0.3440.106,,2018-08-28 10:53:08,2018-08-28 10:53:10,"1,552s",PASSED
,,,,,,
Test Cases/Categories/Category_test_1,Chrome 68.0.3440.106,,2018-08-28 10:53:10,2018-08-28 10:53:15,"4,750s",FAILED
