Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-15 17:27:38,2018-08-15 17:29:06,"1m - 27,488s",FAILED
,,,,,,
Test Cases/CA_Test_1,Chrome 68.0.3440.106,,2018-08-15 17:27:39,2018-08-15 17:27:49,"10,447s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 17:27:39,2018-08-15 17:27:42,"2,606s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 17:27:42,2018-08-15 17:27:45,"3,169s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:27:45,2018-08-15 17:27:49,"3,770s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-15 17:27:49,2018-08-15 17:27:49,"0,142s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:27:49,2018-08-15 17:27:49,"0,262s",PASSED
,,,,,,
Test Cases/CA_Test_2,Chrome 68.0.3440.106,,2018-08-15 17:27:49,2018-08-15 17:28:00,"10,859s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 17:27:50,2018-08-15 17:27:51,"1,011s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 17:27:51,2018-08-15 17:27:54,"3,020s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:27:54,2018-08-15 17:27:56,"2,134s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:27:56,2018-08-15 17:27:56,"0,133s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-15 17:27:56,2018-08-15 17:27:57,"0,495s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:27:57,2018-08-15 17:28:00,"3,556s",PASSED
,,,,,,
Test Cases/CA_Test_3,Chrome 68.0.3440.106,,2018-08-15 17:28:00,2018-08-15 17:28:48,"47,225s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 17:28:01,2018-08-15 17:28:02,"1,018s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 17:28:02,2018-08-15 17:28:04,"2,767s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:28:04,2018-08-15 17:28:07,"3,027s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:28:07,2018-08-15 17:28:11,"3,411s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:28:11,2018-08-15 17:28:48,"36,671s",FAILED
,,,,,,
Test Cases/CA_Test_4,Chrome 68.0.3440.106,,2018-08-15 17:28:48,2018-08-15 17:29:06,"18,330s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 17:28:48,2018-08-15 17:28:49,"1,021s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 17:28:49,2018-08-15 17:28:52,"3,295s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:28:52,2018-08-15 17:28:56,"3,764s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:28:56,2018-08-15 17:28:58,"2,084s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:28:58,2018-08-15 17:29:00,"2,260s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:29:00,2018-08-15 17:29:00,"0,286s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:29:00,2018-08-15 17:29:06,"5,458s",PASSED
