Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-21 14:41:06,2018-08-21 14:42:21,"1m - 15,103s",FAILED
,,,,,,
Test Cases/CA_Test_1,Chrome 68.0.3440.106,,2018-08-21 14:41:07,2018-08-21 14:41:16,"9,180s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:41:07,2018-08-21 14:41:11,"3,537s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:41:11,2018-08-21 14:41:13,"2,549s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:41:13,2018-08-21 14:41:15,"1,983s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-21 14:41:15,2018-08-21 14:41:16,"0,241s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:41:16,2018-08-21 14:41:16,"0,337s",PASSED
,,,,,,
Test Cases/CA_Test_2,Chrome 68.0.3440.106,,2018-08-21 14:41:16,2018-08-21 14:41:23,"7,293s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:41:16,2018-08-21 14:41:18,"1,280s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:41:18,2018-08-21 14:41:20,"2,282s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:41:20,2018-08-21 14:41:21,"1,041s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:41:21,2018-08-21 14:41:21,"0,186s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-21 14:41:21,2018-08-21 14:41:21,"0,200s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:41:21,2018-08-21 14:41:23,"1,977s",PASSED
,,,,,,
Test Cases/CA_Test_3,Chrome 68.0.3440.106,,2018-08-21 14:41:23,2018-08-21 14:41:29,"5,439s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:41:23,2018-08-21 14:41:25,"1,154s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:41:25,2018-08-21 14:41:27,"2,162s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:41:27,2018-08-21 14:41:29,"1,916s",PASSED
,,,,,,
Test Cases/CA_Test_4,Chrome 68.0.3440.106,,2018-08-21 14:41:29,2018-08-21 14:42:09,"40,059s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:41:29,2018-08-21 14:41:30,"1,114s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:41:30,2018-08-21 14:41:32,"2,487s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:41:32,2018-08-21 14:41:34,"1,837s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:41:34,2018-08-21 14:41:36,"1,479s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:41:36,2018-08-21 14:41:37,"1,439s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:41:37,2018-08-21 14:42:09,"31,518s",FAILED
,,,,,,
Test Cases/CA_Test_5,Chrome 68.0.3440.106,,2018-08-21 14:42:09,2018-08-21 14:42:16,"6,745s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:42:09,2018-08-21 14:42:10,"1,504s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:42:10,2018-08-21 14:42:13,"2,350s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 14:42:13,2018-08-21 14:42:13,"0,412s",PASSED
sendKeys,Chrome 68.0.3440.106,,2018-08-21 14:42:13,2018-08-21 14:42:16,"2,330s",PASSED
,,,,,,
Test Cases/CA_Test_6,Chrome 68.0.3440.106,,2018-08-21 14:42:16,2018-08-21 14:42:21,"5,562s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:42:16,2018-08-21 14:42:17,"1,117s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:42:17,2018-08-21 14:42:19,"2,337s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:42:19,2018-08-21 14:42:21,"1,930s",PASSED
