Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-16 18:57:46,2018-08-16 18:58:27,"41,064s",FAILED
,,,,,,
Test Cases/CA_Test_1,Chrome 68.0.3440.106,,2018-08-16 18:57:47,2018-08-16 18:57:56,"9,132s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-16 18:57:48,2018-08-16 18:57:51,"3,427s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-16 18:57:51,2018-08-16 18:57:53,"2,271s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 18:57:53,2018-08-16 18:57:56,"2,510s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-16 18:57:56,2018-08-16 18:57:56,"0,144s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 18:57:56,2018-08-16 18:57:56,"0,212s",PASSED
,,,,,,
Test Cases/CA_Test_2,Chrome 68.0.3440.106,,2018-08-16 18:57:56,2018-08-16 18:58:03,"6,744s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-16 18:57:56,2018-08-16 18:57:58,"1,053s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-16 18:57:58,2018-08-16 18:58:00,"2,106s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 18:58:00,2018-08-16 18:58:01,"1,083s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 18:58:01,2018-08-16 18:58:01,"0,216s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-16 18:58:01,2018-08-16 18:58:01,"0,148s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 18:58:01,2018-08-16 18:58:03,"1,927s",PASSED
,,,,,,
Test Cases/CA_Test_3,Chrome 68.0.3440.106,,2018-08-16 18:58:03,2018-08-16 18:58:08,"4,658s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-16 18:58:03,2018-08-16 18:58:05,"1,133s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-16 18:58:05,2018-08-16 18:58:07,"2,385s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 18:58:07,2018-08-16 18:58:08,"0,764s",FAILED
,,,,,,
Test Cases/CA_Test_4,Chrome 68.0.3440.106,,2018-08-16 18:58:08,2018-08-16 18:58:19,"11,107s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-16 18:58:08,2018-08-16 18:58:09,"1,321s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-16 18:58:09,2018-08-16 18:58:11,"2,000s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 18:58:11,2018-08-16 18:58:14,"3,008s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 18:58:14,2018-08-16 18:58:15,"0,970s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 18:58:15,2018-08-16 18:58:16,"0,968s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 18:58:16,2018-08-16 18:58:16,"0,112s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 18:58:16,2018-08-16 18:58:19,"2,613s",PASSED
,,,,,,
Test Cases/CA_Test_5,Chrome 68.0.3440.106,,2018-08-16 18:58:19,2018-08-16 18:58:23,"3,969s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-16 18:58:19,2018-08-16 18:58:20,"1,006s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-16 18:58:20,2018-08-16 18:58:22,"2,053s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-16 18:58:22,2018-08-16 18:58:23,"0,785s",FAILED
,,,,,,
Test Cases/CA_Test_6,Chrome 68.0.3440.106,,2018-08-16 18:58:23,2018-08-16 18:58:27,"4,501s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-16 18:58:23,2018-08-16 18:58:24,"1,178s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-16 18:58:24,2018-08-16 18:58:26,"2,313s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 18:58:26,2018-08-16 18:58:27,"0,896s",FAILED
