Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-22 15:59:19,2018-08-22 16:00:38,"1m - 18,909s",PASSED
,,,,,,
Test Cases/CA_Test_1,Chrome 68.0.3440.106,,2018-08-22 15:59:19,2018-08-22 15:59:35,"15,491s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-22 15:59:20,2018-08-22 15:59:24,"4,099s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-22 15:59:24,2018-08-22 15:59:28,"4,528s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 15:59:28,2018-08-22 15:59:34,"5,787s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-22 15:59:34,2018-08-22 15:59:34,"0,188s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 15:59:34,2018-08-22 15:59:35,"0,335s",PASSED
,,,,,,
Test Cases/CA_Test_2,Chrome 68.0.3440.106,,2018-08-22 15:59:35,2018-08-22 15:59:47,"12,100s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-22 15:59:35,2018-08-22 15:59:36,"1,053s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-22 15:59:36,2018-08-22 15:59:40,"3,858s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 15:59:40,2018-08-22 15:59:43,"2,485s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 15:59:43,2018-08-22 15:59:43,"0,321s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-22 15:59:43,2018-08-22 15:59:43,"0,159s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 15:59:43,2018-08-22 15:59:47,"3,878s",PASSED
,,,,,,
Test Cases/CA_Test_3,Chrome 68.0.3440.106,,2018-08-22 15:59:47,2018-08-22 15:59:59,"12,427s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-22 15:59:47,2018-08-22 15:59:49,"1,347s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-22 15:59:49,2018-08-22 15:59:52,"3,733s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 15:59:52,2018-08-22 15:59:59,"6,842s",PASSED
,,,,,,
Test Cases/CA_Test_4,Chrome 68.0.3440.106,,2018-08-22 15:59:59,2018-08-22 16:00:19,"19,350s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-22 16:00:00,2018-08-22 16:00:01,"1,349s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-22 16:00:01,2018-08-22 16:00:05,"3,415s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 16:00:05,2018-08-22 16:00:09,"4,653s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 16:00:09,2018-08-22 16:00:12,"2,628s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 16:00:12,2018-08-22 16:00:15,"2,714s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 16:00:15,2018-08-22 16:00:19,"4,177s",PASSED
,,,,,,
Test Cases/CA_Test_5,Chrome 68.0.3440.106,,2018-08-22 16:00:19,2018-08-22 16:00:29,"10,181s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-22 16:00:19,2018-08-22 16:00:21,"1,803s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-22 16:00:21,2018-08-22 16:00:25,"3,980s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-22 16:00:25,2018-08-22 16:00:25,"0,466s",PASSED
sendKeys,Chrome 68.0.3440.106,,2018-08-22 16:00:25,2018-08-22 16:00:29,"3,630s",PASSED
,,,,,,
Test Cases/CA_Test_6,Chrome 68.0.3440.106,,2018-08-22 16:00:29,2018-08-22 16:00:37,"8,610s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-22 16:00:29,2018-08-22 16:00:31,"1,386s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-22 16:00:31,2018-08-22 16:00:34,"3,381s",PASSED
click,Chrome 68.0.3440.106,,2018-08-22 16:00:34,2018-08-22 16:00:37,"3,531s",PASSED
