Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-15 15:15:23,2018-08-15 15:15:40,"17,043s",PASSED
,,,,,,
Test Cases/CA_Test_1,Chrome 68.0.3440.106,,2018-08-15 15:15:23,2018-08-15 15:15:32,"8,643s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 15:15:24,2018-08-15 15:15:27,"3,353s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 15:15:27,2018-08-15 15:15:29,"2,288s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 15:15:29,2018-08-15 15:15:32,"2,143s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-15 15:15:32,2018-08-15 15:15:32,"0,170s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 15:15:32,2018-08-15 15:15:32,"0,244s",PASSED
,,,,,,
Test Cases/CA_Test_2,Chrome 68.0.3440.106,,2018-08-15 15:15:32,2018-08-15 15:15:40,"7,563s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 15:15:32,2018-08-15 15:15:34,"1,362s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 15:15:34,2018-08-15 15:15:36,"2,208s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 15:15:36,2018-08-15 15:15:37,"1,191s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 15:15:37,2018-08-15 15:15:37,"0,388s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-15 15:15:37,2018-08-15 15:15:38,"0,315s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 15:15:38,2018-08-15 15:15:40,"1,858s",PASSED
