Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-15 15:18:34,2018-08-15 15:18:49,"14,730s",PASSED
,,,,,,
Test Cases/CA_Test_1,Chrome 68.0.3440.106,,2018-08-15 15:18:34,2018-08-15 15:18:42,"7,211s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 15:18:35,2018-08-15 15:18:37,"2,512s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 15:18:37,2018-08-15 15:18:39,"1,934s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 15:18:39,2018-08-15 15:18:41,"1,962s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-15 15:18:41,2018-08-15 15:18:41,"0,178s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 15:18:41,2018-08-15 15:18:42,"0,221s",PASSED
,,,,,,
Test Cases/CA_Test_2,Chrome 68.0.3440.106,,2018-08-15 15:18:42,2018-08-15 15:18:48,"6,828s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 15:18:42,2018-08-15 15:18:43,"0,937s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 15:18:43,2018-08-15 15:18:45,"2,134s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 15:18:45,2018-08-15 15:18:46,"1,001s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 15:18:46,2018-08-15 15:18:46,"0,124s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-15 15:18:46,2018-08-15 15:18:46,"0,353s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 15:18:46,2018-08-15 15:18:48,"2,041s",PASSED
