Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-16 19:02:27,2018-08-16 19:03:03,"35,695s",FAILED
,,,,,,
Test Cases/CA_Test_1,Chrome 68.0.3440.106,,2018-08-16 19:02:28,2018-08-16 19:02:35,"7,115s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-16 19:02:28,2018-08-16 19:02:31,"2,470s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-16 19:02:31,2018-08-16 19:02:33,"2,058s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:02:33,2018-08-16 19:02:35,"1,821s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-16 19:02:35,2018-08-16 19:02:35,"0,168s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:02:35,2018-08-16 19:02:35,"0,195s",PASSED
,,,,,,
Test Cases/CA_Test_2,Chrome 68.0.3440.106,,2018-08-16 19:02:35,2018-08-16 19:02:42,"6,526s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-16 19:02:35,2018-08-16 19:02:36,"1,232s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-16 19:02:36,2018-08-16 19:02:39,"2,205s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:02:39,2018-08-16 19:02:40,"0,977s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:02:40,2018-08-16 19:02:40,"0,180s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-16 19:02:40,2018-08-16 19:02:40,"0,175s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:02:40,2018-08-16 19:02:42,"1,573s",PASSED
,,,,,,
Test Cases/CA_Test_3,Chrome 68.0.3440.106,,2018-08-16 19:02:42,2018-08-16 19:02:45,"3,824s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-16 19:02:42,2018-08-16 19:02:43,"0,941s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-16 19:02:43,2018-08-16 19:02:45,"2,081s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:02:45,2018-08-16 19:02:45,"0,563s",FAILED
,,,,,,
Test Cases/CA_Test_4,Chrome 68.0.3440.106,,2018-08-16 19:02:45,2018-08-16 19:02:55,"9,877s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-16 19:02:46,2018-08-16 19:02:47,"1,084s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-16 19:02:47,2018-08-16 19:02:49,"2,113s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:02:49,2018-08-16 19:02:51,"2,157s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:02:51,2018-08-16 19:02:52,"1,142s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:02:52,2018-08-16 19:02:53,"0,763s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:02:53,2018-08-16 19:02:53,"0,078s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:02:53,2018-08-16 19:02:55,"2,341s",PASSED
,,,,,,
Test Cases/CA_Test_5,Chrome 68.0.3440.106,,2018-08-16 19:02:55,2018-08-16 19:02:59,"4,097s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-16 19:02:55,2018-08-16 19:02:56,"1,047s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-16 19:02:56,2018-08-16 19:02:59,"2,412s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-16 19:02:59,2018-08-16 19:02:59,"0,526s",FAILED
,,,,,,
Test Cases/CA_Test_6,Chrome 68.0.3440.106,,2018-08-16 19:02:59,2018-08-16 19:03:03,"3,568s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-16 19:02:59,2018-08-16 19:03:00,"0,930s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-16 19:03:00,2018-08-16 19:03:02,"1,998s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:03:02,2018-08-16 19:03:03,"0,533s",FAILED
