Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-27 15:29:29,2018-08-27 15:30:28,"59,396s",FAILED
,,,,,,
Test Cases/CA_Test_1,Chrome 68.0.3440.106,,2018-08-27 15:29:30,2018-08-27 15:29:39,"9,024s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 15:29:30,2018-08-27 15:29:34,"4,029s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 15:29:34,2018-08-27 15:29:36,"2,254s",PASSED
click,Chrome 68.0.3440.106,,2018-08-27 15:29:36,2018-08-27 15:29:38,"1,852s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-27 15:29:38,2018-08-27 15:29:38,"0,178s",PASSED
click,Chrome 68.0.3440.106,,2018-08-27 15:29:38,2018-08-27 15:29:39,"0,176s",PASSED
,,,,,,
Test Cases/CA_Test_2,Chrome 68.0.3440.106,,2018-08-27 15:29:39,2018-08-27 15:29:46,"7,031s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 15:29:39,2018-08-27 15:29:40,"1,177s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 15:29:40,2018-08-27 15:29:42,"2,185s",PASSED
click,Chrome 68.0.3440.106,,2018-08-27 15:29:42,2018-08-27 15:29:43,"1,116s",PASSED
click,Chrome 68.0.3440.106,,2018-08-27 15:29:43,2018-08-27 15:29:44,"0,265s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-27 15:29:44,2018-08-27 15:29:44,"0,171s",PASSED
click,Chrome 68.0.3440.106,,2018-08-27 15:29:44,2018-08-27 15:29:46,"1,841s",PASSED
,,,,,,
Test Cases/CA_Test_3,Chrome 68.0.3440.106,,2018-08-27 15:29:46,2018-08-27 15:29:52,"6,037s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 15:29:46,2018-08-27 15:29:47,"1,190s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 15:29:47,2018-08-27 15:29:49,"2,099s",PASSED
click,Chrome 68.0.3440.106,,2018-08-27 15:29:49,2018-08-27 15:29:52,"2,415s",PASSED
,,,,,,
Test Cases/CA_Test_4,Chrome 68.0.3440.106,,2018-08-27 15:29:52,2018-08-27 15:30:02,"9,874s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 15:29:52,2018-08-27 15:29:53,"1,178s",PASSED
