Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-15 15:50:34,2018-08-15 15:51:03,"28,677s",PASSED
,,,,,,
Test Cases/CA_Test_1,Chrome 68.0.3440.106,,2018-08-15 15:50:35,2018-08-15 15:50:50,"15,511s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 15:50:35,2018-08-15 15:50:38,"2,605s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 15:50:38,2018-08-15 15:50:44,"6,732s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 15:50:44,2018-08-15 15:50:50,"5,301s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-15 15:50:50,2018-08-15 15:50:50,"0,218s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 15:50:50,2018-08-15 15:50:50,"0,239s",PASSED
,,,,,,
Test Cases/CA_Test_2,Chrome 68.0.3440.106,,2018-08-15 15:50:50,2018-08-15 15:51:02,"12,296s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 15:50:50,2018-08-15 15:50:52,"1,742s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 15:50:52,2018-08-15 15:50:55,"3,072s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 15:50:55,2018-08-15 15:50:58,"2,420s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 15:50:58,2018-08-15 15:50:58,"0,494s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-15 15:50:58,2018-08-15 15:50:58,"0,348s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 15:50:58,2018-08-15 15:51:02,"3,897s",PASSED
