Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-16 19:01:07,2018-08-16 19:01:41,"33,718s",FAILED
,,,,,,
Test Cases/CA_Test_1,Chrome 68.0.3440.106,,2018-08-16 19:01:08,2018-08-16 19:01:15,"7,024s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-16 19:01:08,2018-08-16 19:01:11,"2,429s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-16 19:01:11,2018-08-16 19:01:13,"1,999s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:01:13,2018-08-16 19:01:14,"1,886s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-16 19:01:14,2018-08-16 19:01:15,"0,128s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:01:15,2018-08-16 19:01:15,"0,203s",PASSED
,,,,,,
Test Cases/CA_Test_2,Chrome 68.0.3440.106,,2018-08-16 19:01:15,2018-08-16 19:01:20,"5,460s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-16 19:01:15,2018-08-16 19:01:16,"0,933s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-16 19:01:16,2018-08-16 19:01:18,"2,062s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:01:18,2018-08-16 19:01:19,"1,123s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:01:19,2018-08-16 19:01:19,"0,142s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-16 19:01:19,2018-08-16 19:01:19,"0,107s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:01:19,2018-08-16 19:01:20,"0,894s",FAILED
,,,,,,
Test Cases/CA_Test_3,Chrome 68.0.3440.106,,2018-08-16 19:01:20,2018-08-16 19:01:24,"3,956s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-16 19:01:20,2018-08-16 19:01:22,"1,248s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-16 19:01:22,2018-08-16 19:01:24,"2,065s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:01:24,2018-08-16 19:01:24,"0,506s",FAILED
,,,,,,
Test Cases/CA_Test_4,Chrome 68.0.3440.106,,2018-08-16 19:01:24,2018-08-16 19:01:33,"9,281s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-16 19:01:24,2018-08-16 19:01:26,"1,141s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-16 19:01:26,2018-08-16 19:01:28,"2,049s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:01:28,2018-08-16 19:01:29,"1,574s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:01:29,2018-08-16 19:01:30,"0,953s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:01:30,2018-08-16 19:01:31,"0,714s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:01:31,2018-08-16 19:01:31,"0,081s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:01:31,2018-08-16 19:01:33,"2,604s",PASSED
,,,,,,
Test Cases/CA_Test_5,Chrome 68.0.3440.106,,2018-08-16 19:01:33,2018-08-16 19:01:37,"3,692s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-16 19:01:34,2018-08-16 19:01:35,"1,066s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-16 19:01:35,2018-08-16 19:01:37,"1,926s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-16 19:01:37,2018-08-16 19:01:37,"0,542s",FAILED
,,,,,,
Test Cases/CA_Test_6,Chrome 68.0.3440.106,,2018-08-16 19:01:37,2018-08-16 19:01:41,"3,637s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-16 19:01:37,2018-08-16 19:01:38,"0,934s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-16 19:01:38,2018-08-16 19:01:40,"2,127s",PASSED
click,Chrome 68.0.3440.106,,2018-08-16 19:01:40,2018-08-16 19:01:41,"0,474s",FAILED
