Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-15 17:33:51,2018-08-15 17:35:04,"1m - 13,573s",FAILED
,,,,,,
Test Cases/CA_Test_1,Chrome 68.0.3440.106,,2018-08-15 17:33:51,2018-08-15 17:34:01,"9,635s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 17:33:52,2018-08-15 17:33:56,"3,975s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 17:33:56,2018-08-15 17:33:58,"2,243s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:33:58,2018-08-15 17:34:00,"2,147s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-15 17:34:00,2018-08-15 17:34:01,"0,190s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:34:01,2018-08-15 17:34:01,"0,268s",PASSED
,,,,,,
Test Cases/CA_Test_2,Chrome 68.0.3440.106,,2018-08-15 17:34:01,2018-08-15 17:34:08,"7,480s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 17:34:01,2018-08-15 17:34:03,"1,305s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 17:34:03,2018-08-15 17:34:05,"2,185s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:34:05,2018-08-15 17:34:06,"1,137s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:34:06,2018-08-15 17:34:06,"0,194s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-15 17:34:06,2018-08-15 17:34:06,"0,371s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:34:06,2018-08-15 17:34:08,"1,952s",PASSED
,,,,,,
Test Cases/CA_Test_3,Chrome 68.0.3440.106,,2018-08-15 17:34:08,2018-08-15 17:34:54,"45,957s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 17:34:09,2018-08-15 17:34:10,"1,016s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 17:34:10,2018-08-15 17:34:12,"2,223s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:34:12,2018-08-15 17:34:13,"1,125s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:34:13,2018-08-15 17:34:15,"2,253s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:34:15,2018-08-15 17:34:54,"38,949s",FAILED
,,,,,,
Test Cases/CA_Test_4,Chrome 68.0.3440.106,,2018-08-15 17:34:54,2018-08-15 17:35:04,"9,817s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 17:34:54,2018-08-15 17:34:56,"1,111s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 17:34:56,2018-08-15 17:34:58,"2,272s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:34:58,2018-08-15 17:35:00,"1,805s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:35:00,2018-08-15 17:35:01,"1,078s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:35:01,2018-08-15 17:35:02,"0,952s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:35:02,2018-08-15 17:35:02,"0,104s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 17:35:02,2018-08-15 17:35:04,"2,339s",PASSED
