Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-21 14:49:27,2018-08-21 14:50:19,"51,313s",PASSED
,,,,,,
Test Cases/CA_Test_1,Chrome 68.0.3440.106,,2018-08-21 14:49:28,2018-08-21 14:49:42,"14,201s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:49:28,2018-08-21 14:49:31,"2,937s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:49:31,2018-08-21 14:49:39,"7,429s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:49:39,2018-08-21 14:49:42,"2,978s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-21 14:49:42,2018-08-21 14:49:42,"0,196s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:49:42,2018-08-21 14:49:42,"0,199s",PASSED
,,,,,,
Test Cases/CA_Test_2,Chrome 68.0.3440.106,,2018-08-21 14:49:42,2018-08-21 14:49:51,"8,792s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:49:42,2018-08-21 14:49:44,"1,180s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:49:44,2018-08-21 14:49:47,"2,963s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:49:47,2018-08-21 14:49:49,"1,935s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:49:49,2018-08-21 14:49:49,"0,153s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-21 14:49:49,2018-08-21 14:49:49,"0,220s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:49:49,2018-08-21 14:49:51,"2,093s",PASSED
,,,,,,
Test Cases/CA_Test_3,Chrome 68.0.3440.106,,2018-08-21 14:49:51,2018-08-21 14:49:57,"6,073s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:49:51,2018-08-21 14:49:53,"1,309s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:49:53,2018-08-21 14:49:55,"2,191s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:49:55,2018-08-21 14:49:57,"2,371s",PASSED
,,,,,,
Test Cases/CA_Test_4,Chrome 68.0.3440.106,,2018-08-21 14:49:57,2018-08-21 14:50:07,"9,747s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:49:57,2018-08-21 14:49:58,"1,180s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:49:58,2018-08-21 14:50:01,"2,253s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:50:01,2018-08-21 14:50:02,"1,751s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:50:02,2018-08-21 14:50:04,"1,092s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:50:04,2018-08-21 14:50:04,"0,961s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:50:04,2018-08-21 14:50:07,"2,348s",PASSED
,,,,,,
Test Cases/CA_Test_5,Chrome 68.0.3440.106,,2018-08-21 14:50:07,2018-08-21 14:50:13,"6,018s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:50:07,2018-08-21 14:50:08,"1,254s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:50:08,2018-08-21 14:50:10,"2,152s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 14:50:10,2018-08-21 14:50:11,"0,342s",PASSED
sendKeys,Chrome 68.0.3440.106,,2018-08-21 14:50:11,2018-08-21 14:50:13,"2,092s",PASSED
,,,,,,
Test Cases/CA_Test_6,Chrome 68.0.3440.106,,2018-08-21 14:50:13,2018-08-21 14:50:19,"5,714s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:50:13,2018-08-21 14:50:14,"1,266s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:50:14,2018-08-21 14:50:17,"2,338s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:50:17,2018-08-21 14:50:19,"1,969s",PASSED
