Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-23 18:14:37,2018-08-23 18:15:16,"38,681s",FAILED
,,,,,,
Test Cases/CA_Test_1,Chrome 68.0.3440.106,,2018-08-23 18:14:38,2018-08-23 18:14:49,"11,098s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-23 18:14:38,2018-08-23 18:14:43,"5,029s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-23 18:14:43,2018-08-23 18:14:46,"2,754s",PASSED
click,Chrome 68.0.3440.106,,2018-08-23 18:14:46,2018-08-23 18:14:48,"2,135s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-23 18:14:48,2018-08-23 18:14:49,"0,233s",PASSED
click,Chrome 68.0.3440.106,,2018-08-23 18:14:49,2018-08-23 18:14:49,"0,271s",PASSED
,,,,,,
Test Cases/CA_Test_2,Chrome 68.0.3440.106,,2018-08-23 18:14:49,2018-08-23 18:14:57,"8,230s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-23 18:14:49,2018-08-23 18:14:51,"1,265s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-23 18:14:51,2018-08-23 18:14:53,"2,157s",PASSED
click,Chrome 68.0.3440.106,,2018-08-23 18:14:53,2018-08-23 18:14:54,"1,765s",PASSED
click,Chrome 68.0.3440.106,,2018-08-23 18:14:54,2018-08-23 18:14:55,"0,381s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-23 18:14:55,2018-08-23 18:14:55,"0,145s",PASSED
click,Chrome 68.0.3440.106,,2018-08-23 18:14:55,2018-08-23 18:14:57,"2,107s",PASSED
,,,,,,
Test Cases/CA_Test_3,Chrome 68.0.3440.106,,2018-08-23 18:14:57,2018-08-23 18:15:04,"6,520s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-23 18:14:57,2018-08-23 18:14:59,"1,210s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-23 18:14:59,2018-08-23 18:15:01,"2,690s",PASSED
click,Chrome 68.0.3440.106,,2018-08-23 18:15:01,2018-08-23 18:15:04,"2,393s",PASSED
,,,,,,
Test Cases/VideoReview/Written_review_ Existing acc - unverified,Chrome 68.0.3440.106,,2018-08-23 18:15:04,2018-08-23 18:15:16,"12,038s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-23 18:15:04,2018-08-23 18:15:05,"1,234s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-23 18:15:05,2018-08-23 18:15:07,"1,936s",PASSED
click,Chrome 68.0.3440.106,,2018-08-23 18:15:07,2018-08-23 18:15:08,"0,858s",PASSED
click,Chrome 68.0.3440.106,,2018-08-23 18:15:08,2018-08-23 18:15:10,"2,012s",PASSED
click,Chrome 68.0.3440.106,,2018-08-23 18:15:10,2018-08-23 18:15:10,"0,207s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-23 18:15:10,2018-08-23 18:15:11,"0,575s",PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-08-23 18:15:11,2018-08-23 18:15:11,"0,002s",NOT_RUN
setText,Chrome 68.0.3440.106,,2018-08-23 18:15:11,2018-08-23 18:15:11,"0,275s",PASSED
click,Chrome 68.0.3440.106,,2018-08-23 18:15:11,2018-08-23 18:15:11,"0,110s",PASSED
click,Chrome 68.0.3440.106,,2018-08-23 18:15:11,2018-08-23 18:15:11,"0,115s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-23 18:15:11,2018-08-23 18:15:12,"0,345s",PASSED
click,Chrome 68.0.3440.106,,2018-08-23 18:15:12,2018-08-23 18:15:12,"0,109s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-23 18:15:12,2018-08-23 18:15:15,"2,848s",PASSED
click,Chrome 68.0.3440.106,,2018-08-23 18:15:15,2018-08-23 18:15:15,"0,086s",PASSED
click,Chrome 68.0.3440.106,,2018-08-23 18:15:15,2018-08-23 18:15:15,"0,129s",PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-23 18:15:15,2018-08-23 18:15:15,"0,067s",PASSED
click,Chrome 68.0.3440.106,,2018-08-23 18:15:15,2018-08-23 18:15:16,"0,866s",FAILED
