Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-21 17:27:45,2018-08-21 17:29:19,"1m - 33,898s",FAILED
,,,,,,
Test Cases/CA_Test_1,Chrome 68.0.3440.106,,2018-08-21 17:27:47,2018-08-21 17:28:09,"21,850s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 17:27:48,2018-08-21 17:27:55,"7,341s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 17:27:55,2018-08-21 17:28:02,"6,629s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 17:28:02,2018-08-21 17:28:07,"5,467s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-21 17:28:07,2018-08-21 17:28:08,"0,519s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 17:28:08,2018-08-21 17:28:09,"0,705s",PASSED
,,,,,,
Test Cases/CA_Test_2,Chrome 68.0.3440.106,,2018-08-21 17:28:09,2018-08-21 17:28:23,"14,438s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 17:28:10,2018-08-21 17:28:13,"3,041s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 17:28:13,2018-08-21 17:28:16,"3,575s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 17:28:16,2018-08-21 17:28:20,"3,353s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 17:28:20,2018-08-21 17:28:21,"1,026s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-21 17:28:21,2018-08-21 17:28:21,"0,376s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 17:28:21,2018-08-21 17:28:23,"1,873s",FAILED
,,,,,,
Test Cases/CA_Test_3,Chrome 68.0.3440.106,,2018-08-21 17:28:23,2018-08-21 17:28:35,"11,980s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 17:28:24,2018-08-21 17:28:27,"3,178s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 17:28:27,2018-08-21 17:28:32,"4,738s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 17:28:32,2018-08-21 17:28:35,"3,441s",PASSED
,,,,,,
Test Cases/CA_Test_4,Chrome 68.0.3440.106,,2018-08-21 17:28:35,2018-08-21 17:28:53,"18,090s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 17:28:36,2018-08-21 17:28:38,"2,276s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 17:28:38,2018-08-21 17:28:43,"4,725s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 17:28:43,2018-08-21 17:28:46,"3,746s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 17:28:46,2018-08-21 17:28:48,"1,901s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 17:28:48,2018-08-21 17:28:50,"1,965s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 17:28:50,2018-08-21 17:28:53,"2,944s",PASSED
,,,,,,
Test Cases/CA_Test_5,Chrome 68.0.3440.106,,2018-08-21 17:28:53,2018-08-21 17:29:08,"15,223s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 17:28:54,2018-08-21 17:28:57,"3,569s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 17:28:57,2018-08-21 17:29:03,"5,279s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 17:29:03,2018-08-21 17:29:04,"1,139s",PASSED
sendKeys,Chrome 68.0.3440.106,,2018-08-21 17:29:04,2018-08-21 17:29:08,"4,758s",PASSED
,,,,,,
Test Cases/CA_Test_6,Chrome 68.0.3440.106,,2018-08-21 17:29:08,2018-08-21 17:29:19,"10,563s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 17:29:09,2018-08-21 17:29:12,"2,883s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 17:29:12,2018-08-21 17:29:16,"3,898s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 17:29:16,2018-08-21 17:29:19,"3,383s",PASSED
