Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-15 15:24:04,2018-08-15 15:24:18,"13,646s",PASSED
,,,,,,
Test Cases/CA_Test_1,Chrome 68.0.3440.106,,2018-08-15 15:24:05,2018-08-15 15:24:12,"6,851s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 15:24:05,2018-08-15 15:24:07,"2,408s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 15:24:07,2018-08-15 15:24:10,"2,045s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 15:24:10,2018-08-15 15:24:11,"1,605s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-15 15:24:11,2018-08-15 15:24:11,"0,175s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 15:24:11,2018-08-15 15:24:12,"0,203s",PASSED
,,,,,,
Test Cases/CA_Test_2,Chrome 68.0.3440.106,,2018-08-15 15:24:12,2018-08-15 15:24:18,"6,242s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 15:24:12,2018-08-15 15:24:13,"0,827s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 15:24:13,2018-08-15 15:24:15,"2,001s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 15:24:15,2018-08-15 15:24:16,"1,042s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 15:24:16,2018-08-15 15:24:16,"0,128s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-15 15:24:16,2018-08-15 15:24:16,"0,325s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 15:24:16,2018-08-15 15:24:18,"1,700s",PASSED
