Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-15 16:11:45,2018-08-15 16:13:33,"1m - 47,449s",FAILED
,,,,,,
Test Cases/CA_Test_1,Chrome 68.0.3440.106,,2018-08-15 16:11:46,2018-08-15 16:12:11,"24,586s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 16:11:48,2018-08-15 16:11:54,"6,002s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 16:11:54,2018-08-15 16:12:03,"9,472s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 16:12:03,2018-08-15 16:12:10,"6,733s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-15 16:12:10,2018-08-15 16:12:10,"0,341s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 16:12:10,2018-08-15 16:12:11,"0,697s",PASSED
,,,,,,
Test Cases/CA_Test_2,Chrome 68.0.3440.106,,2018-08-15 16:12:11,2018-08-15 16:12:27,"16,199s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 16:12:12,2018-08-15 16:12:14,"2,260s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 16:12:14,2018-08-15 16:12:18,"3,852s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 16:12:18,2018-08-15 16:12:22,"3,513s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 16:12:22,2018-08-15 16:12:22,"0,559s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-15 16:12:22,2018-08-15 16:12:23,"0,431s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 16:12:23,2018-08-15 16:12:27,"4,480s",PASSED
,,,,,,
Test Cases/CA_Test_3,Chrome 68.0.3440.106,,2018-08-15 16:12:27,2018-08-15 16:13:32,"1m - 5,235s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-15 16:12:28,2018-08-15 16:12:29,"1,604s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-15 16:12:29,2018-08-15 16:12:33,"4,124s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 16:12:33,2018-08-15 16:12:36,"2,778s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 16:12:36,2018-08-15 16:12:41,"5,176s",PASSED
click,Chrome 68.0.3440.106,,2018-08-15 16:12:41,2018-08-15 16:13:32,"51,067s",FAILED
